"","id","gender","time","performance","feedback","activity"
"218",19,2,2,65.4579341,"negative","emg_bi"
"219",19,2,3,74.8716607,"negative","emg_bi"
"220",19,2,4,71.5626328,"negative","emg_bi"
"221",19,2,5,92.6789393,"negative","emg_bi"
"222",19,2,6,67.910277,"negative","emg_bi"
"223",19,2,7,68.1718602,"negative","emg_bi"
"224",19,2,8,70.1991302,"negative","emg_bi"
"225",19,2,9,86.9175686,"negative","emg_bi"
"226",19,2,10,72.4356669,"negative","emg_bi"
"227",19,2,11,73.5931727,"negative","emg_bi"
"228",19,2,12,85.4265442,"negative","emg_bi"
"229",20,2,1,99.4787441,"negative","emg_bi"
"230",20,2,2,99.5760993,"negative","emg_bi"
"231",20,2,3,99.8499108,"negative","emg_bi"
"232",20,2,4,99.904673,"negative","emg_bi"
"233",20,2,5,100.093299,"negative","emg_bi"
"234",20,2,6,99.6977933,"negative","emg_bi"
"235",20,2,7,99.6004381,"negative","emg_bi"
"236",20,2,8,99.6126075,"negative","emg_bi"
"237",20,2,9,100.214993,"negative","emg_bi"
"238",20,2,10,99.9411812,"negative","emg_bi"
"239",20,2,11,99.8438261,"negative","emg_bi"
"240",20,2,12,100.099383,"negative","emg_bi"
"241",21,2,1,77.0421548,"negative","emg_bi"
"242",21,2,2,98.5122782,"negative","emg_bi"
"243",21,2,3,135.739543,"negative","emg_bi"
"244",21,2,4,139.532989,"negative","emg_bi"
"245",21,2,5,121.898678,"negative","emg_bi"
"246",21,2,6,107.396242,"negative","emg_bi"
"247",21,2,7,97.5280679,"negative","emg_bi"
"248",21,2,8,100.695791,"negative","emg_bi"
"249",21,2,9,87.4806498,"negative","emg_bi"
"250",21,2,10,76.3610292,"negative","emg_bi"
"251",21,2,11,78.1860548,"negative","emg_bi"
"252",21,2,12,71.3356907,"negative","emg_bi"
"253",22,2,1,95.2210461,"negative","emg_bi"
"254",22,2,2,97.2164044,"negative","emg_bi"
"255",22,2,3,93.6290049,"negative","emg_bi"
"256",22,2,4,106.806861,"negative","emg_bi"
"257",22,2,5,91.7015736,"negative","emg_bi"
"258",22,2,6,85.7452168,"negative","emg_bi"
"259",22,2,7,84.645647,"negative","emg_bi"
"260",22,2,8,83.3762595,"negative","emg_bi"
"261",22,2,9,88.572682,"negative","emg_bi"
"262",22,2,10,85.8004076,"negative","emg_bi"
"263",22,2,11,85.5414355,"negative","emg_bi"
"264",22,2,12,84.1871391,"negative","emg_bi"
"265",1,1,1,94.6304692,"positive","emg_bi"
"266",1,1,2,101.327361,"positive","emg_bi"
"267",1,1,3,101.425684,"positive","emg_bi"
"268",1,1,4,99.3281259,"positive","emg_bi"
"269",1,1,5,98.0062271,"positive","emg_bi"
"270",1,1,6,96.7389523,"positive","emg_bi"
"271",1,1,7,95.2750314,"positive","emg_bi"
