,utterance,tablet,parent,positive 2,positive 1,point at prop,cognitive,technical,affective,child,other,song,teach,positive feedback,put down,pick up,try again,start,end,PC,CP,PCP,CPC,time
other,0.08822245899790541,0.04947354857625446,0.021679006690349216,0.0014790121445841823,0.007181519547511168,0.02929773141212763,0.060531046771530095,0.002459791702839857,0.003561814096105684,0.019888650955600856,1.0,0.029918639438875513,0.025913339919922857,0.029607969037385096,0.012867775428481545,0.024695293106363366,0.004391924286074615,0.03140133999263399,0.00027197240188265025,0.020483838435598492,0.019888650955600856,0.025608203098308937,0.0030101212673339242,1.0
song,0.13939442513437023,0.05898994573218989,0.03392712893491574,0.007725954447198217,0.011218616517890743,0.006323565176273078,0.09523439443482912,0.0038403775609789632,0.0055616572441902585,0.031118168298156022,0.010780007609583586,1.0,0.04057586380461843,0.046383373019001396,0.020115444026870863,0.038662518295688085,0.006858532180348422,0.0004245092331577833,0.0004245092331577833,0.03205183478143802,0.031118168298156022,0.04009648647178695,0.004699895608155257,1.0
teach,0.002566964516750847,0.044183157989176526,0.0007901615268577467,0.0010041711318184,0.000522439884325887,0.309467505793995,0.006647729101421132,0.0036347508428360054,0.00045034348959819333,0.0330631352230058,0.010201831627412714,0.04433485641563282,1.0,0.04387302264827549,0.019034071294233117,0.03657424850243349,0.006491033809421718,0.00040179833159438756,0.00040179833159438756,0.018770961227497527,0.000551644403069375,0.016680197725236275,0.02274885982191273,1.0
positive feedback,0.04194094756767676,6.106706620666797e-05,0.0003921822243276058,0.0090077794624358,0.011172502646230655,0.04570504784219507,0.04108966066958973,0.0011320340242979296,0.00553883002219549,0.005884057474137691,0.01073570174578113,0.04667742821918473,0.040407745146019795,1.0,0.02003256429568399,0.03850241254259396,0.0068303725527069535,0.0004227691990036279,0.0004227691990036279,0.031919346625869954,0.020108359330149636,0.039930376227398166,0.004680609719524708,1.0
put down,9.866806473850898e-06,0.0005972674780808085,0.0004720349476578874,0.005820279440697529,0.009832682534016745,0.03449579443693315,0.001189104655906488,0.00813842224584368,0.004190347568491833,0.023410190453259205,0.008119587401150943,0.03522758603654133,0.03050755621385595,0.03486143128743338,1.0,0.02907240886553769,0.005167073017587203,0.0003199340743605388,0.0003199340743605388,0.02411122244258394,0.016942844111174003,0.030148021741035404,0.0035412413409911104,1.0
pick up,0.00244455751510413,0.03956070837088261,0.0012160122199004748,0.0071834338467733185,0.02090699373371396,0.04264212591351368,0.0013474174344923985,0.003570952919498119,0.00019554877715581462,1.7035124355075406e-05,0.010022476976596575,0.04354855942043057,0.037703488403512106,0.04309501195034944,0.01869869990976875,1.0,0.006377021903653097,0.00039475144052455503,0.00039475144052455503,0.05769857493567296,0.006722513082724391,0.02307661598283262,0.0043701037086807245,1.0
try again,0.002568656226638898,0.006320465233987989,0.01958304408210119,0.0044697362189421675,0.00648842336030711,0.026462461753869567,0.00013831800962152627,0.002222527303271922,0.003218207182579131,0.017966210045402158,0.006234983419144987,0.027023052909096665,0.023406666640478697,0.02674256320502118,0.011625043025746134,0.022306810859433823,1.0,0.0002457454602630031,0.0002457454602630031,0.01850372061285413,0.025489013171459747,0.016883723191948734,0.0027197548535261907,1.0
start,0.050375810862137986,0.15795655274498785,0.012410806655468988,0.0028337070320610344,0.004113317209952807,0.016767863250755168,0.03460299387258122,0.0014091015772733728,0.0020403252557115756,0.011386573206529407,0.45636695784840225,0.017122844980579838,0.014832671589986026,0.01694523246319121,0.007368787291998336,0.014136075402217714,0.002515770713097914,1.0,0.00015581169173901335,0.01172708491687363,0.011386573206529407,0.014658170884104583,0.0017243287580816892,1.0
end,0.050375810862137986,0.15795655274498785,0.012410806655468988,0.0028337070320610344,0.004113317209952807,0.016767863250755168,0.03460299387258122,0.0014091015772733728,0.0020403252557115756,0.011386573206529407,0.003952672646931609,0.017122844980579838,0.014832671589986026,0.01694523246319121,0.007368787291998336,0.014136075402217714,0.002515770713097914,0.00015581169173901335,1.0,0.01172708491687363,0.011386573206529407,0.014658170884104583,0.0017243287580816892,1.0
PC,0.11680947447367952,0.0010730829429023748,0.0038881430023180105,0.002471044023131973,0.010450233933421468,0.007079243824524283,0.0543463300573512,0.0033441531818468027,0.004842754613891069,0.008259921435385141,0.009384994532720292,0.040756637825831846,0.021845120026263865,0.040332473348541745,0.017506987587698707,0.06513687019057848,0.005971745436088666,0.0003696976930081712,0.0003696976930081712,1.0,0.07679370434470734,0.6500038062605873,0.089261331110132,1.0
