,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,time
131,0,1,0,0,0,0,0,0,0,0,0,1,0,0,69.55
132,0,1,0,0,0,0,0,0,0,0,0,1,0,0,70.05
133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.55
134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.05
135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.55
136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72.05
137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72.55
138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.05
139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.55
140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.05
141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74.55
142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.05
143,0,1,0,0,0,0,0,0,0,0,0,1,0,0,75.55
144,0,1,0,0,0,0,0,0,0,0,0,1,0,0,76.05
145,0,1,0,0,0,0,0,0,0,0,0,1,0,0,76.55
146,0,1,0,0,0,0,0,0,0,0,0,1,0,0,77.05
147,0,1,1,0,0,0,0,0,0,0,0,0,0,0,77.55
148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,78.05
149,0,1,1,0,1,0,0,0,0,0,0,0,0,0,78.55
150,0,1,1,0,1,0,0,0,0,0,0,0,0,0,79.05
151,0,1,1,0,1,0,0,0,0,0,0,0,0,0,79.55
152,0,1,0,0,0,0,0,0,0,0,1,1,0,0,80.05
153,0,1,0,0,0,0,0,0,0,0,1,1,0,0,80.55
154,0,1,0,0,0,0,0,0,0,0,1,1,0,0,81.05
155,0,1,0,0,0,0,0,0,0,0,1,1,0,0,81.55
156,0,1,0,0,0,0,0,0,0,0,1,1,0,0,82.05
157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,82.55
158,0,1,1,0,1,0,0,0,0,0,0,1,0,0,83.05
159,0,1,1,0,1,0,0,0,0,0,0,0,0,0,83.55
160,0,1,0,0,1,0,0,0,0,0,0,0,0,0,84.05
161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84.55
162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.05
163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85.55
164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.05
165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.55
166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87.05
