,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Parent utterance:utterance,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gesture:point at prop,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:positive feedback,robot text:put down,robot text:pick up,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC
Non-verbal scaffolding:technical,"[5, 0.9984350465924592]","[5, 0.9997659639823238]","[5, 0.9995239160475747]","[5, 0.9789009935634106]","[1, 1.0]","[1, 1.0]","[4, 0.007754202617874562]","[4, 0.11176870148746544]","[4, 8.544294113067592e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 2.779137182354702e-09]","[5, 0.0012845565269022858]","[2, 0.5812703761135944]","[1, 1.0]","[1, 1.0]","[3, 0.9829180814017555]","[2, 0.04447628426879597]","[1, 0.006247553856901583]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Parent gesture:point at prop,"[4, 0.18574970834683818]","[4, 0.2965537657959998]","[2, 0.17170878172619697]","[1, 1.0]","[1, 1.0]","[5, 1.8909378492845054e-08]","[3, 0.16600845558245628]","[5, 0.05172892559880447]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.08902112399040424]","[4, 0.9183138314043084]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.9709250719784562]","[1, 1.0]","[2, 0.13076469030217136]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.04370051998665946]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Child prop manipulation:child,"[5, 0.5863424383948945]","[5, 0.2553101794212759]","[1, 0.07035641319651093]","[1, 1.0]","[2, 0.03037955254436533]","[3, 0.0969877583465401]","[4, 0.2949779811640923]","[4, 0.28249193608220124]","[1, 1.0]","[1, 1.0]","[4, 0.8117319167015276]","[1, 0.0888974051106812]","[1, 1.0]","[3, 0.020884532877419384]","[4, 0.000701007360186106]","[1, 1.0]","[1, 1.0]","[1, 0.3530624060941796]","[1, 0.05284853697763718]","[2, 0.03037955254436533]","[5, 0.05108739880708123]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.7530687853214268]","[5, 0.949074252151957]","[4, 0.7420000253449105]","[5, 0.6836051537501597]"
Parent prop manipulation:parent,"[2, 0.09718262601469915]","[5, 0.9999998513322031]","[1, 0.09513674299061521]","[5, 0.9915521770580383]","[1, 1.0]","[1, 1.0]","[5, 0.0009349524658020232]","[5, 1.8786645828062116e-06]","[4, 9.448705781786638e-12]","[1, 1.0]","[4, 2.2311885629397633e-09]","[3, 0.010581857174414207]","[4, 8.618290290965877e-05]","[1, 1.0]","[5, 0.4110067601633541]","[1, 1.0]","[1, 1.0]","[2, 0.1658223079744653]","[3, 0.8410306449866498]","[5, 6.826140928895947e-05]","[4, 0.5843688988450617]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.0008532034873426614]","[4, 0.25257478502415404]","[1, 1.0]","[4, 3.3760317331474874e-08]"
robot pointing:point at prop,"[3, 0.10030481699825712]","[1, 0.43178425787852026]","[5, 0.22922791234337872]","[5, 0.0014438281795408603]","[5, 0.6604040954076532]","[2, 0.03812080534323486]","[4, 0.00046948244331165183]","[4, 0.01291549329931502]","[1, 1.0]","[4, 0.15434888201896496]","[1, 0.07121019548903801]","[1, 1.0]","[1, 0.08888193989208573]","[2, 0.0662501431234349]","[1, 1.0]","[5, 0.24451890127181156]","[1, 1.0]","[5, 4.689834957107275e-10]","[2, 0.1555839992919523]","[1, 1.0]","[5, 0.88304636588301]","[5, 0.9365367471421797]","[1, 1.0]","[1, 1.0]","[1, 0.0029635293636705463]","[5, 0.11186170744233644]","[1, 0.0002837688137519645]","[5, 0.0004581983822692683]"
robot text:other,"[4, 0.21015834133065006]","[2, 0.32948585274229986]","[2, 0.21414549780793898]","[5, 0.0017736411521842702]","[1, 1.0]","[1, 1.0]","[4, 0.9983077673806414]","[4, 0.9993786306269911]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9999718147539519]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.19173966653007543]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 3.35172083870217e-23]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:song,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:teach,"[3, 0.048818484936710024]","[1, 0.05743480193009438]","[2, 0.0067617537068101145]","[5, 0.04303092711643039]","[1, 0.0015505127693368908]","[3, 0.025138541135008803]","[2, 4.8878848953736034e-05]","[2, 0.0018241075133059803]","[1, 1.0]","[1, 0.07330923352107986]","[5, 0.09035409415132638]","[1, 1.0]","[3, 0.5483273593052358]","[5, 5.62402037660318e-05]","[2, 1.7352293564406653e-38]","[5, 0.005209932122286754]","[1, 1.0]","[1, 1.0]","[4, 0.09582442635588098]","[1, 1.0]","[5, 0.9121703077032448]","[4, 0.9990399394321325]","[1, 1.0]","[1, 1.0]","[3, 0.1866321686093599]","[5, 0.3882718423907471]","[2, 0.11372663387514888]","[5, 0.0012735937026748419]"
robot text:positive feedback,"[2, 0.5089610935667888]","[5, 0.8558498758054397]","[2, 0.13729387463198953]","[1, 1.0]","[4, 0.6958892286049583]","[1, 1.0]","[1, 0.0373228496093376]","[1, 0.2171757622810346]","[1, 1.0]","[1, 0.08400755010392234]","[2, 0.0005152120582158083]","[1, 0.05370087782151908]","[2, 0.022368843718723764]","[4, 0.06738124192945735]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.5144219113401308]","[1, 0.28529800944683126]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.5461446273535133]","[1, 1.0]","[1, 1.0]"
robot text:put down,"[3, 0.09933212485699247]","[1, 0.23439857698610014]","[4, 0.7331131202931529]","[1, 1.0]","[4, 0.34593825868115124]","[1, 1.0]","[1, 0.14034268205127629]","[1, 0.08010694436543163]","[3, 4.123999279011811e-09]","[3, 0.09558503211405975]","[3, 8.691615457782734e-07]","[1, 1.0]","[5, 0.8662835868011429]","[1, 0.01454119217230696]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.0174049327258481e-08]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.10025890760764314]","[1, 1.0]","[1, 1.0]"
robot text:pick up,"[2, 0.21755574417651194]","[1, 0.008600880662734227]","[3, 0.10924391902109917]","[1, 1.0]","[3, 0.008462877767870868]","[5, 0.9999587505181109]","[5, 0.04879909792843154]","[4, 0.022033751370254446]","[1, 1.0]","[2, 0.19855721949025157]","[1, 1.0]","[3, 0.2546233829043652]","[1, 0.34584314593460563]","[5, 0.9999996002204845]","[3, 0.028456796561945046]","[1, 1.0]","[1, 1.0]","[2, 0.0009635590908481981]","[3, 0.2057331256060965]","[1, 1.0]","[1, 1.0]","[1, 0.0043364884996144205]","[1, 1.0]","[1, 1.0]","[2, 0.004421601111814346]","[3, 0.5126616210155652]","[4, 0.4066600381513922]","[5, 0.9999952964553042]"
robot text:try again,"[5, 2.327462878371019e-05]","[2, 8.241315129469192e-07]","[1, 0.008266592681364825]","[2, 1.4902466058100173e-08]","[1, 1.0]","[1, 1.0]","[2, 0.123914779831956]","[2, 0.05905113380056522]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.010135556193816375]","[1, 1.0]","[1, 1.0]","[3, 0.0003434813899209672]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 4.2887453135556566e-08]","[1, 1.0]","[1, 1.0]","[3, 1.8055761780091703e-25]"
start-end:start,"[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]"
start-end:end,"[1, 1.0]","[4, 0.00028392338707440123]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.04995085057005769]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.990762361876953]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9722771751138759]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
Conversational turns:PC,"[5, 1.14596682187069e-12]","[5, 0.05474081248154877]","[4, 0.0001425611936230607]","[3, 0.008306388819508273]","[4, 0.00025393712124669506]","[1, 1.0]","[1, 0.043178461552879716]","[1, 0.12884153169217]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.011473517215246264]","[3, 0.004293192326533845]","[5, 0.7927975018289151]","[1, 1.0]","[1, 1.0]","[1, 0.11720332735091839]","[1, 1.0]","[1, 1.0]","[3, 0.17534280326989804]","[4, 0.9999999999999998]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 1.5153903303691634e-05]","[1, 0.2809549100682575]","[3, 6.912733645677795e-16]"
Conversational turns:CP,"[5, 0.00023461790377258664]","[3, 0.673748606902659]","[2, 0.350358737546307]","[3, 0.016909362270058983]","[5, 0.010164570862485907]","[1, 1.0]","[5, 0.16132201042661679]","[2, 0.5399263873692627]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.19779537999758143]","[4, 0.022660136928837896]","[4, 0.022682183695206984]","[2, 0.9999999999998943]","[1, 1.0]","[5, 0.06213273827210881]","[5, 0.055704494826056355]","[5, 0.017491638858536964]","[2, 0.3107354816397547]","[3, 7.069666326070566e-07]","[1, 1.0]","[1, 1.0]","[5, 7.29219405675194e-05]","[1, 1.0]","[1, 0.3994409720832076]","[4, 1.887510685329328e-06]"
Conversational turns:PCP,"[5, 0.014902967897455911]","[3, 0.46127285827370124]","[2, 0.17652202489897448]","[3, 0.0005275328379463609]","[1, 1.0]","[1, 1.0]","[4, 0.0033260825607331766]","[2, 0.026560198415864003]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.08972836676517962]","[1, 1.0]","[5, 0.24219041338223818]","[1, 1.0]","[1, 1.0]","[5, 3.4203016762124924e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 3.901088632656543e-12]","[1, 1.0]","[1, 1.0]","[4, 8.035650965900676e-05]","[1, 1.0]","[1, 1.0]","[4, 3.046550275272086e-11]"
Conversational turns:CPC,"[5, 1.3499236728372631e-05]","[1, 0.0015654022580025816]","[2, 0.0008889907487912835]","[4, 4.664193806979059e-17]","[1, 1.0]","[1, 1.0]","[5, 0.21883586494277404]","[5, 0.06858559871135608]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.0006283214257494616]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 7.972560923885654e-13]","[1, 1.0]","[1, 1.0]"
