,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:try again,robot text:positive feedback,robot text:put down,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
Verbal scaffolding:technical,0.013669581545987157,0.0007392763587329019,0.08191961695252485,0.03320242304081067,0.18176300577074128,0.004912786528410207,0.002970909912355521,0.4284608183606409,0.0037194371973776705,0.019604073655510135,1.0,0.008642790189029794,0.0037194371973776705,0.1379100290962578,0.08987025976359102,0.41762577086871633,0.24674467334979766,0.0011097728600373185,0.05996845734300095,0.0087747589106346,0.0383453778351859,0.018405341382032345,0.055867136291192714,0.010834872962332907,0.0013318012408143997,0.03249347668501864,0.02816769500225618,0.11869346568191184,0.00036935266161579637,0.00036935266161579637,0.000112653727461663,0.012517787204974934,0.014452394136441204,0.005979172516753871,0.09530479115550267,0.3531935635901658,0.020808841901337836,1.0
Verbal scaffolding:affective,0.013112873183712908,0.0007092302516872599,0.013079127968268454,0.0018950542818167938,0.005378277933785531,0.007924328879996547,0.0028501222794676912,0.4086607720459337,0.0035681990776853466,0.018804905162224078,0.009763988695011983,1.0,0.0035681990776853466,0.035196980849681134,0.0238603551112119,0.050028295427753486,0.02034684709289698,0.0010646662076565598,0.014658246234880613,0.005735963390007499,0.0002103327112618741,0.017655187042650143,0.05357540543540266,0.00010105911849475862,0.013037178054284237,0.007192560523786002,0.10484536058691804,0.010133690915481348,0.0003543420778060942,0.0003543420778060942,0.006312996794348079,0.014617044010354928,0.008920161236102413,0.005735963390007499,0.02333080528032217,0.037193034319810546,4.531995048727956e-05,1.0
Verbal scaffolding:instruction translation,0.010868489480131617,0.0005880018125570133,0.012814731159107778,0.02638360350666675,0.014824106173157683,0.006568777946960165,0.0023628409441126133,0.3328399739136314,0.00295810233615389,0.015584249633562914,0.008093408241701312,0.006872741292029284,1.0,0.10918344234108078,0.15200553983597564,0.006198591955473799,0.016861506725456686,0.0008826763729473517,0.0518970390294045,0.004754990356484598,0.030465569857146612,0.014631827622334783,0.044362219680914285,0.02504192455424728,1.8985613423288306e-05,0.005962284731046923,0.022386247868567036,0.008399786012560029,0.0002937768114559713,0.0002937768114559713,0.013369204352677716,0.012114793688069225,0.01149063483079577,0.004754990356484598,0.07557650778927207,0.030809665981096197,0.016541398539315404,1.0
Parent gaze:robot,0.007898840747121777,0.002483636837359441,0.06999378568641783,0.004063200610249437,0.033091010139911475,0.00653517682514487,0.0013882954893828267,0.06740393407890512,3.879114317497409e-05,0.009973616993061379,0.03441179584944018,0.007773983273759722,0.012520280335099486,1.0,0.21308676465735196,0.10847255531775057,0.012935885747354825,0.0037292464585353545,0.009310624406825296,0.02015740896046513,0.04270438545155786,0.0005836051190151444,0.003442071828636777,0.03937288169799614,0.01439305715083396,0.0053291416644215064,0.0010754022186720614,0.0006931952563735706,0.001873860941580213,0.0012405581953000137,0.024639375421731717,0.008579942155084857,0.0024033816811057703,0.001037519906448499,0.5665031893744195,0.10430988162219852,0.027219984063215,1.0
Parent gaze:child,0.049856131542738,0.0003982679039655593,0.0067202268633135675,0.057401432684649104,0.025641013697899673,0.004393818226040641,0.0016089616551968628,0.011797535399767979,0.0007202921590752337,0.006240646826549066,0.024849180570710776,0.005839822946922044,0.019315291813113925,0.23612450623779527,1.0,0.08432536659069388,0.007870342630821441,0.002021705852393843,0.015881943741325646,0.014573377358297746,0.016276136403617705,0.0006573754496528646,0.03580881228000352,0.030612880461790865,0.00031189905564898724,0.0014612555005836334,0.00010533781208982827,0.01707556140896788,0.0008982942099270391,0.0029010373657836815,0.023264498671470638,0.01920152645484193,0.022227723172867368,0.0032613270713240587,0.18689602899317279,0.06079100182180932,0.1702891702650723,1.0
Parent gaze:props,0.005358014659412226,0.0014820148865890114,0.0975968094685095,0.013343491296446007,0.21630993902967774,2.308895079605472e-05,0.005300836198471803,0.03419446847377841,6.661983594853937e-06,0.0020468984744931,0.14559074570641808,0.015437923635040271,0.0009930824596874007,0.1515496241388825,0.10631845162349934,1.0,0.07718398891410196,0.00052037876540841,0.08736734137940128,0.08427666232212715,0.015511657057880464,0.032940263069975696,0.10080362220115183,0.004435956794423156,0.0034096818474307973,0.015360004039423876,0.00021489875868834778,0.038179681168927754,0.0006586869011114411,0.0006586869011114411,7.46385072425645e-05,0.0001229830671865682,0.025844973471777555,0.010674546347040119,0.09948881272720195,0.6376918003142125,0.01912021046434547,1.0
Parent gesture:point at prop,0.0009504138362557233,0.0009169453883598351,0.03002790791095358,0.0144382379696513,0.03689644028952432,0.010249436793726306,0.0036853019761643813,0.09681054507209948,0.010609074593718617,0.032152867943195954,0.14692045577966573,0.010724037023104021,0.004613989945178278,0.0308687585931943,0.016948530353458894,0.13183029385958148,1.0,0.003997670343144878,0.010078733677096562,0.007418027898354961,0.0017658865967922677,0.022848669394960604,0.06949457453856386,6.070169767903362e-05,0.00994997464051473,0.02175360618553763,0.01923397574904392,0.019653856300547973,0.0004581103817957388,0.0004581103817957388,9.74964315453148e-05,0.04585008639567975,0.023628158422332134,0.010917977981904664,0.015595263175030927,0.1200227453174638,0.00726932559088361,1.0
Parent gesture:other,0.008764862505775623,0.0004742611672900809,0.0024791645483301294,0.021272112139829616,0.04141676492018027,0.005297696990670306,0.00190573572354815,0.2660729079010161,0.0023858205417799216,0.40522694483727145,0.006527164961080248,0.005542818543269749,0.0023858205417799216,0.087902269358621,0.04300434945694829,0.008779374504209387,0.039487804369599554,1.0,0.041825716828723276,0.00383498158462483,0.02456171825051639,0.011799154044450453,0.03575753862975964,0.020190776243948178,0.01725508715223328,0.559291309987608,0.01805027988588282,0.006774222710896345,0.0002369508023810393,0.0002369508023810393,0.010781168083757965,0.009769765774385054,0.009266506984346145,0.00383498158462483,0.0608849266408119,0.0171921851271364,0.013338666520942588,1.0
Child prop manipulation:child,0.027521799625394194,0.0014833883038070698,0.012029986635620875,0.006824320239279344,0.08043060084870547,0.016607364650007797,0.005964677955767501,0.00015875677986543657,0.00746893833230023,0.006666553914650362,0.0187799048655815,0.004063303162082006,0.00746893833230023,0.011685245220655402,0.017987801618491634,0.0784825582248219,0.005300807090268783,0.0022270163975074853,1.0,0.004843205929923229,0.027719605656585745,0.037104158426519984,0.11386855701425182,0.009463786944891708,0.013276306492159965,0.0001926523454962342,0.030907795179850053,0.025933191562374443,0.0007410510046097692,0.0007410510046097692,0.009023513252473176,0.03069210112947649,0.02910401024179783,0.0120137354348341,0.018124944298679505,0.04463357012836958,0.005601949357530472,1.0
Parent prop manipulation:parent,0.007926407074211547,0.0006502381658704221,0.18783738366309483,0.029185663427568682,0.25263744090712387,0.07073708681396691,0.002612989220064204,0.0027934999419338604,0.0032712931904537923,0.017236951663080594,0.01313588202384423,0.00760076174927371,0.0032712931904537923,0.12093367920109518,0.0789020309098077,0.36189692565243525,0.018649965286294066,0.0009761056805563307,0.023151891091208705,1.0,0.03370298735911171,0.016183329806909955,0.049085753312783933,0.027701001313401866,0.02367092328697382,0.0065937877111512085,0.05341216240825193,0.03231895381873514,0.00032487011528998735,0.00032487011528998735,0.01795908873127509,0.013398973222798843,0.012708553269510568,0.005258543241728267,0.08366265076540472,0.42369146030308036,0.018295829131114036,1.0
