,utterance,other vocalization,robot,parent,props,point at prop,other,missing data,cognitive,technical,affective,instruction translation,child,song,teach,pick up,try again,positive feedback,put down,start,end,PC,CP,PCP,CPC,MG,time
affective,0.3515485918471007,0.0007092302516872599,0.0055386661992335405,0.004379019465417241,0.011076870047650293,0.010053695329361458,0.021510117503494967,0.0035681990776853466,0.018804905162224078,0.009763988695011983,1.0,0.0035681990776853466,0.07432954066738373,0.05357540543540266,0.00010105911849475862,0.013037178054284237,0.007192560523786002,0.10484536058691804,0.010133690915481348,0.0003543420778060942,0.0003543420778060942,0.006312996794348079,0.014617044010354928,0.008920161236102413,0.005735963390007499,4.531995048727956e-05,1.0
instruction translation,0.2874882769625665,0.0005880018125570133,0.03382903402881628,0.03184565341251797,0.023632975028243405,0.05538618915313404,0.0178250316310091,0.00295810233615389,0.015584249633562914,0.008093408241701312,0.006872741292029284,1.0,0.07335977199230446,0.044362219680914285,0.02504192455424728,1.8985613423288306e-05,0.005962284731046923,0.022386247868567036,0.008399786012560029,0.0002937768114559713,0.0002937768114559713,0.013369204352677716,0.012114793688069225,0.01149063483079577,0.004754990356484598,0.016541398539315404,1.0
child,0.021955885324666538,1.7958115194767125e-07,0.0335601012827432,0.005640354047544682,0.0038415344461558924,0.04255545646774531,0.002730826321870259,0.004141470721475644,0.00014920475789747007,0.0004437362319262672,0.01617859829358298,0.00829003751842911,1.0,5.013545470706844e-05,0.03685230221854886,0.005524585162269336,0.0008252069058812872,0.00883307518901653,0.0028034693323008156,0.001492618354178632,0.0015321854642681904,0.009221204789627097,0.0020395063122440518,0.0032895686468074124,1.467785352082429e-06,0.08797933473294345,1.0
song,0.023232378875241277,0.0013645533440861774,0.014207749241809665,0.0002755897113784086,0.20660280599631065,0.00017913191917799098,0.04158712462194855,0.006869631669159907,0.036333178051964087,0.018824819099118487,0.015979624500885203,0.006869631669159907,6.870156319299021e-05,1.0,0.058562471366552425,0.04998496583392239,0.013858889223461677,0.052306144373472384,0.019539281102252965,0.0006816968681191105,0.0006816968681191105,0.0009217936978822755,0.005141729720531825,0.002497667900364846,0.011048563477977818,0.006019501824799232,1.0
teach,0.021135813373115177,0.0010573258182900456,0.007261995342637064,0.009801781207236668,0.0035674190329371583,0.3873819877617926,0.0016003191339490127,0.005321110955329038,0.00487012794248398,0.005009710768895267,4.136100067832403e-05,0.005321110955329038,0.06929481074373058,0.0803588705557804,1.0,0.01115245208009343,0.0107301410243502,0.040395283060034294,0.01512265001597549,0.0005282360728496064,0.0005282360728496064,0.024088548059383447,0.021823945187493716,0.020697492140623747,0.008555792649435337,0.0027981468877413354,1.0
pick up,0.004962215905745415,0.0009963958396537543,0.004642839631915938,0.003390027162938916,0.004360121874906481,0.062447446969022255,0.0005249807064688943,0.005014161539298048,0.013569645161501423,0.0006790219630561808,0.005883756700677985,4.448512580731839e-06,0.0114549009667633,0.07563266527552666,0.012297758015244367,1.0,0.010110362816259799,0.038044700741925105,0.004291949434166299,0.0004977995096374202,0.0004977995096374202,9.854646172987734e-05,0.007790920438858481,0.0006829070763299983,0.01207736847793643,0.01591339505167878,1.0
try again,0.07204771426900701,0.0006851591453394952,0.009280774540673447,0.002593425396674801,0.017563143696440266,0.0016167455163882654,0.004731085286944075,0.003447044598966489,0.017791990134450278,0.04087752468163632,0.008009375133132744,0.003447044598966489,0.00422180841281186,0.051741906865315455,0.029194766637474195,0.02494656428775863,1.0,0.026097161360170627,0.00978927704581118,0.0003423164132162408,0.0003423164132162408,0.0391832447639682,0.02591385541723452,0.04626585766509715,0.09457890145685806,0.0004900569159300638,1.0
positive feedback,7.96412804082008e-05,0.019599173788744238,0.0008839742563838144,0.00032913680308902475,0.015001326874933883,0.07728142570080236,0.03078540446691373,0.005098295274939454,0.00014793531514861836,0.01395883595251782,0.04599110177829279,0.005098295274939454,0.017801519755174723,0.07692654028975665,0.04329519700104278,0.03697836112956073,0.01028022824121887,1.0,0.014487866163500628,0.0005061426457750511,0.0005061426457750511,0.005276294317611423,0.02090632308796762,0.019827481613301286,0.008197242848905167,0.008765243304867271,1.0
put down,0.010221905982618712,0.0007464914288659969,0.012385087208102578,6.706774965550831e-05,0.08058119855380926,0.0034746955797904707,0.02264439392125457,0.003755756248637562,0.01979604035709222,0.11548091176498733,0.008727256684811354,0.003755756248637562,0.01109242401721373,0.05641798527081058,0.03182163319401248,0.008190182579054397,0.007570866798541398,0.02844395120436966,1.0,0.00037295718088012825,0.00037295718088012825,0.018344504142392273,0.001566460660011458,0.014593783642556353,0.006037580074122643,0.004370493358099909,1.0
start,0.03509833703695495,0.0004040306866172649,0.05037218270468074,0.0218691080210778,0.05918974294745385,0.03801642860270306,0.3259369297802895,0.002032499811544054,0.01070539738731655,0.005560430941823488,0.004721898508812887,0.002032499811544054,0.09138254639848856,0.030456789099387514,0.017199128631356964,0.014698644161699232,0.0040964393918550895,0.015375960533100242,0.0057708900303667125,1.0,0.00020186241712823733,0.009184180170785535,0.008322636994937578,0.007893942536168224,0.0032670285865448994,0.011362694464288435,1.0
end,0.19578959875816648,0.0004040306866172649,0.05037218270468074,0.0218691080210778,0.05918974294745385,0.03801642860270306,0.012244157865787239,0.002032499811544054,0.01070539738731655,0.005560430941823488,0.004721898508812887,0.002032499811544054,0.09380496286112275,0.030456789099387514,0.017199128631356964,0.014698644161699232,0.0040964393918550895,0.015375960533100242,0.0057708900303667125,0.00020186241712823733,1.0,0.36316864095288964,0.008322636994937578,0.007893942536168224,0.0032670285865448994,0.011362694464288435,1.0
PC,0.09885443555569974,0.033779797078036,0.012572996654857053,0.057818948308361616,0.016216369694118427,0.010925698926398462,1.9588367886858454e-05,0.0042845563957543105,0.0024435088468397026,7.855974866532814e-05,0.0038968778283538807,0.0042845563957543105,0.026151068959985306,0.0019077165734373133,0.03633091313457646,0.00013478797487786876,0.021720334469194972,0.007424815023472721,0.013148527015447558,0.00042542959247742574,0.01682269773110562,1.0,0.09689523252845007,0.4047231969446351,0.28757181827915557,0.07028621933634159,1.0
