,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
303,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,159.42
304,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,159.92
305,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,160.42
306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,160.92
307,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,161.42
308,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,161.92
309,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,162.42
310,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,162.92
311,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,163.42
312,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,163.92
313,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,164.42
314,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,164.92
315,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,165.42
316,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,165.92
317,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,166.42
318,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,166.92
319,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,167.42
320,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,167.92
321,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,168.42
322,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,168.92
323,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,169.42
324,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,169.92
325,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,170.42
326,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,170.92
327,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,171.42
328,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,171.92
329,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,172.42
330,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,172.92
331,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,173.42
332,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,173.92
333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,174.42
334,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,174.92
335,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,175.42
336,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,175.92
337,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,176.42
338,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,176.92
339,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,177.42
340,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,177.92
341,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,178.42
342,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,178.92
343,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,179.42
344,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,179.92
345,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,180.42
346,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,180.92
347,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,181.42
348,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,181.92
349,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,182.42
350,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,182.92
351,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,183.42
352,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,183.92
353,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,184.42
354,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,184.92
355,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,185.42
356,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,185.92
357,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,186.42
358,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,186.92
359,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,187.42
360,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,187.92
